"attributeName","formatString","unit","numberType","definition","attributeDefinition","columnClasses","minimum","maximum"
"site number","","","","","","factor","",""
"site location","","","","","","character","",""
"cluster","","","","","","factor","",""
"site acronym","","","","","","factor","",""
"date","","","","","","Date","",""
"units","","","","","","character","",""
"7Li","","","real","","","numeric","9.909000","196.800000"
"9Be","","","real","","","numeric","-0.051000","0.398000"
"23Na","","","natural","","","numeric","12440.000000","278900.000000"
"24Mg","","","natural","","","numeric","8994.000000","29900.000000"
"27Al","","","real","","","numeric","-3.141000","1385.000000"
"39K","","","natural","","","numeric","1811.000000","14420.000000"
"44Ca","","","natural","","","numeric","21180.000000","104600.000000"
"51V","","","real","","","numeric","1.091000","8.879000"
"52Cr","","","real","","","numeric","-0.214000","5.566000"
"55Mn","","","real","","","numeric","0.013000","443.100000"
"56Fe","","","real","","","numeric","-1.916000","1217.000000"
"59Co","","","real","","","numeric","-0.059000","1.068000"
"60Ni","","","real","","","numeric","-9.656000","3.676000"
"65Cu","","","real","","","numeric","-2.519000","84.520000"
"66Zn","","","real","","","numeric","-545.400000","83.330000"
"75As","","","real","","","numeric","1.930000","18.350000"
"82Se","","","real","","","numeric","-2.522000","178.600000"
"88Sr","","","real","","","numeric","293.700000","1428.000000"
"95Mo","","","real","","","numeric","0.648000","8.292000"
"107Ag","","","real","","","numeric","-0.088000","2.709000"
"111Cd","","","real","","","numeric","-0.029000","2.597000"
"121Sb","","","real","","","numeric","0.034000","1.564000"
"138Ba","","","real","","","numeric","32.440000","296.600000"
"202Hg","","","real","","","numeric","-0.045000","3.431000"
"208Pb","","","real","","","numeric","-0.793000","2.073000"
"238U","","","real","","","numeric","0.218000","5.798000"
"Field37","","","","","","logical","",""
"Field38","","","","","","logical","",""
"Field39","","","","","","logical","",""
"Field40","","","","","","logical","",""
"Field41","","","","","","logical","",""
"Field42","","","","","","logical","",""
"Field43","","","","","","logical","",""
"Field44","","","","","","logical","",""
"F43","","","","","","logical","",""
