"attributeName","formatString","unit","numberType","definition","attributeDefinition","columnClasses","minimum","maximum"
"site number","","","","","","factor","",""
"site location","","","","","","character","",""
"cluster","","","","","","factor","",""
"site acronym","","","","","","factor","",""
"date","","","","","","Date","",""
"sample type","","","","","","factor","",""
"TOC (mg/L)","","","real","","","numeric","0.000000","26.170000"
"DOC (mg/L)","","","real","","","numeric","0.000000","34.500000"
"UVA (cm-1)","","","real","","","numeric","0.001100","4.800000"
"suva (L/mg-m)","","","real","","","numeric","0.000000","24.126984"
"Field1","","","","","","logical","",""
"peak int","","","real","","","numeric","1.520000","255.170000"
"peak int WL","","","real","","","numeric","432.780000","4448.210000"
"int at 450","","","real","","","numeric","0.440000","254.120000"
"int at 460","","","real","","","numeric","0.240000","245.320000"
"int at 500","","","real","","","numeric","0.050000","156.650000"
"FI (450/500)","","","real","","","numeric","0.000000","2.860000"
"docm comments","","","","","","character","",""
